gvkey,permno,adate,qdate,public_date,bm,evm,pe_exi,pe_inc,ps,pcf,npm,opmbd,gpm,cfm,roa,roe,roce,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_totdebt,debt_ebitda,ocf_lct,cash_debt,lt_ppent,cash_ratio,quick_ratio,curr_ratio,inv_turn,at_turn,rect_turn,pay_turn,ptb,divyield,TICKER
12142,10104,2020-05-31,2020-05-31,2020-07-31,0.073,13.948,18.003,18.003,4.355,12.951,0.259,0.438,0.832,0.34,0.153,0.593,0.173,0.145,0.848,0.883,0.854,0.031,4.308,0.764,0.128,12.46,2.503,3.019,3.031,24.693,0.349,6.384,10.595,14.045,1.73%,ORCL
12142,10104,2020-05-31,2020-08-31,2020-10-31,0.055,13.236,17.589,17.589,4.308,12.904,0.261,0.446,0.835,0.34,0.168,0.679,0.196,0.174,0.817,0.853,0.824,0.034,3.598,0.79,0.128,11.995,2.092,3.134,2.566,30.611,0.37,8.206,10.595,17.8,1.71%,ORCL
12142,10104,2020-05-31,2020-11-30,2021-01-31,0.046,13.009,18.257,18.257,4.515,12.738,0.263,0.455,0.84,0.341,0.169,0.808,0.198,0.146,0.845,0.899,0.852,0.033,3.748,0.765,0.128,13.279,2.051,2.844,2.489,29.882,0.362,8.087,10.595,22.472,1.59%,ORCL
12142,10104,2020-05-31,2021-02-28,2021-04-30,0.09,13.396,18.132,18.132,5.506,14.908,0.323,0.46,0.843,0.4,0.168,1.173,0.197,0.125,0.866,0.928,0.874,0.033,3.893,0.756,0.128,14.81,2.061,2.679,2.477,29.469,0.347,7.952,10.595,13.015,1.69%,ORCL
12142,10104,2021-05-31,2021-05-31,2021-07-31,0.059,16.624,19.152,19.152,6.01,15.314,0.34,0.459,0.844,0.416,0.151,1.09,0.176,0.062,0.929,1.035,0.937,0.031,4.688,0.657,0.127,12.971,1.927,2.294,2.3,35.796,0.328,6.458,9.043,18.569,1.47%,ORCL
12142,10104,2021-05-31,2021-08-31,2021-10-31,0.059,15.146,20.369,20.369,6.422,17.114,0.342,0.458,0.842,0.419,0.158,1.18,0.191,0.067,0.924,1.018,0.932,0.033,4.142,0.69,0.127,14.953,1.805,2.496,2.169,45.373,0.339,8.272,9.043,20.018,1.33%,ORCL
12142,10104,2021-05-31,2021-11-30,2022-01-31,0.059,15.991,23.322,23.322,5.235,21.134,0.248,0.458,0.841,0.325,0.157,0.814,0.193,0.008,0.984,1.073,0.991,0.034,4.186,0.475,0.127,14.772,1.674,2.567,2.055,46.401,0.346,8.369,9.043,16.542,1.58%,ORCL
12142,10104,2021-05-31,2022-02-28,2022-04-30,0.059,16.372,27.909,27.909,4.682,18.838,0.181,0.452,0.838,0.258,0.158,0.506,0.198,-0.053,1.046,1.139,1.053,0.034,4.32,0.478,0.127,14.238,1.519,2.55,1.903,47.768,0.356,8.476,9.043,14.948,1.74%,ORCL
12142,10104,2022-05-31,2022-05-31,2022-07-31,,14.312,32.299,32.299,4.888,21.746,0.158,0.446,0.837,0.236,0.158,0.5843333333333334,0.191,-0.09,1.083,1.148,1.09,0.033,4.197,0.489,0.083,8.706,1.123,1.605,1.621,30.285,0.353,6.554,6.864,,1.64%,ORCL
12142,10104,2022-05-31,2022-08-31,2022-10-31,,15.355,37.176,37.176,4.766,19.963,0.132,0.429,0.825,0.222,0.169,0.6626666666666666,0.207,-0.116,1.109,1.228,1.116,0.035,4.324,0.448,0.083,11.493,0.844,1.332,1.227,24.669,0.388,8.128,6.864,,1.64%,ORCL
12142,10104,2022-05-31,2022-11-30,2023-01-31,,15.24,27.644,27.644,5.177,15.824,0.191,0.412,0.809,0.294,0.167,0.741,0.194,-0.089,1.083,1.213,1.09,0.035,4.479,0.59,0.083,10.317,0.624,1.225,0.996,28.07,0.387,7.854,6.864,,1.45%,ORCL
12142,10104,2022-05-31,2023-02-28,2023-04-30,,15.627,31.158,31.158,5.332,16.495,0.175,0.402,0.794,0.29,0.162,0.8193333333333332,0.177,-0.062,1.056,1.175,1.063,0.037,4.588,0.594,0.083,9.193,0.472,1.201,0.852,31.395,0.384,7.645,6.864,,1.69%,ORCL
12142,10104,2023-05-31,2023-05-31,2023-07-31,0.024,19.428,38.186,38.186,6.37,18.537,0.17,0.394,0.779,0.296,0.162,0.8976666666666666,0.16,0.012,0.983,1.037,0.988,0.04,4.839,0.743,0.129,6.13,0.441,0.897,0.91,36.072,0.41,6.911,8.744,46.485,1.36%,ORCL
12142,10104,2023-05-31,2023-08-31,2023-10-31,0.023,17.718,30.774,30.774,5.558,15.962,0.184,0.4,0.775,0.307,0.155,0.976,0.159,-0.009,1.004,1.076,1.01,0.039,4.504,0.721,0.129,7.605,0.39,0.841,0.807,38.409,0.384,7.651,8.744,37.021,1.55%,ORCL
12141,10107,2014-06-30,2014-09-30,2015-01-31,0.243,10.84,15.843,15.843,3.637,10.236,0.235,0.371,0.731,0.297,0.217,0.242,0.263,0.814,0.186,0.213,0.186,0.028,0.68,0.82,0.39,6.035,2.198,2.743,2.802,10.529,0.559,5.887,4.143,3.568,3.07%,MSFT
12141,10107,2014-06-30,2014-12-31,2015-02-28,0.248,11.303,17.681,17.681,3.865,11.135,0.222,0.367,0.72,0.286,0.21,0.228,0.254,0.822,0.178,0.223,0.178,0.027,0.713,0.753,0.39,6.078,2.06,2.577,2.634,10.671,0.553,5.994,4.127,3.799,2.83%,MSFT
12141,10107,2014-06-30,2015-03-31,2015-05-31,0.282,11.283,19.444,19.444,4.016,11.929,0.212,0.363,0.714,0.278,0.203,0.216,0.245,0.81,0.19,0.238,0.19,0.026,0.778,0.712,0.39,6.116,2.02,2.528,2.585,10.461,0.544,6.186,3.96,4.074,2.65%,MSFT
12141,10107,2015-06-30,2015-06-30,2015-08-31,0.234,11.607,29.405,29.405,3.72,11.969,0.13,0.359,0.705,0.194,0.193,0.139,0.247,0.742,0.258,0.327,0.258,0.028,1.051,0.583,0.302,6.526,1.936,2.443,2.501,9.938,0.537,4.997,3.976,4.198,2.85%,MSFT
12141,10107,2015-06-30,2015-09-30,2015-11-30,0.225,11.779,35.523,35.523,4.784,14.807,0.138,0.363,0.714,0.201,0.189,0.138,0.229,0.77,0.23,0.304,0.23,0.026,1.016,0.626,0.302,6.252,2.036,2.507,2.567,9.246,0.518,6.263,3.972,5.453,2.65%,MSFT
12141,10107,2015-06-30,2015-12-31,2016-02-29,0.18,13.125,35.333,35.333,4.569,13.161,0.133,0.352,0.708,0.198,0.177,0.134,0.211,0.724,0.276,0.335,0.276,0.027,1.211,0.67,0.302,6.364,2.157,2.632,2.697,8.645,0.499,6.26,3.925,5.096,2.83%,MSFT
12141,10107,2015-06-30,2016-03-31,2016-05-31,0.178,14.708,40.769,40.769,4.795,13.152,0.121,0.342,0.7,0.192,0.168,0.125,0.198,0.693,0.307,0.369,0.307,0.028,1.387,0.68,0.302,6.442,2.169,2.635,2.698,8.783,0.489,6.194,3.871,5.377,2.72%,MSFT
12141,10107,2016-06-30,2016-06-30,2016-08-31,0.184,16.71,27.362,27.362,5.248,13.436,0.197,0.318,0.685,0.274,0.147,0.215,0.176,0.634,0.366,0.48,0.366,0.029,2.005,0.561,0.274,6.63,1.908,2.315,2.353,10.441,0.461,4.716,3.892,6.094,2.51%,MSFT
12141,10107,2016-06-30,2016-09-30,2016-11-30,0.16,16.643,27.391,27.391,5.394,12.915,0.202,0.336,0.696,0.274,0.16,0.227,0.183,0.615,0.385,0.462,0.385,0.026,1.893,0.707,0.274,6.755,2.234,2.648,2.699,10.048,0.452,6.187,3.83,6.513,2.59%,MSFT
12141,10107,2016-06-30,2016-12-31,2017-02-28,0.146,15.982,26.882,26.882,5.561,13.371,0.212,0.356,0.709,0.277,0.165,0.249,0.187,0.583,0.417,0.537,0.417,0.025,2.076,0.634,0.274,6.95,2.051,2.405,2.447,10.567,0.438,6.35,3.785,7.069,2.44%,MSFT
12141,10107,2016-06-30,2017-03-31,2017-05-31,0.138,15.787,26.759,26.759,5.888,14.586,0.224,0.37,0.722,0.286,0.167,0.281,0.186,0.538,0.462,0.579,0.462,0.025,2.232,0.614,0.274,7.105,2.071,2.405,2.444,10.926,0.428,6.469,3.843,7.682,2.23%,MSFT
